date,ticker,close
2023-08-01,SPX,4457.3587
2023-08-01,XAUUSD,1919.0000
2023-09-01,SPX,4515.7700
2023-09-01,XAUUSD,1916.0000
2023-10-01,SPX,4269.4000
2023-10-01,XAUUSD,1916.0000
2023-11-01,SPX,4460.0600
2023-11-01,XAUUSD,1984.0000
2023-12-01,SPX,4685.0500
2023-12-01,XAUUSD,2026.0000
2024-01-01,SPX,4804.4900
2024-01-01,XAUUSD,2034.0000
2024-02-01,SPX,5011.9600
2024-02-01,XAUUSD,2023.0000
2024-03-01,SPX,5170.5700
2024-03-01,XAUUSD,2158.0000
2024-04-01,SPX,5112.4900
2024-04-01,XAUUSD,2331.0000
2024-05-01,SPX,5235.2300
2024-05-01,XAUUSD,2351.0000
2024-06-01,SPX,5415.1400
2024-06-01,XAUUSD,2326.0000
2024-07-01,SPX,5538.0000
2024-07-01,XAUUSD,2398.0000
2024-08-01,SPX,5478.2100
2024-08-01,XAUUSD,2470.0000
2024-09-01,SPX,5621.2600
2024-09-01,XAUUSD,2571.0000
2024-10-01,SPX,5792.3200
2024-10-01,XAUUSD,2690.0000
2024-11-01,SPX,5929.9200
2024-11-01,XAUUSD,2651.0000
2024-12-01,SPX,6010.9100
2024-12-01,XAUUSD,2648.0000
2025-01-01,SPX,5979.5200
2025-01-01,XAUUSD,2710.0000
2025-02-01,SPX,6038.6900
2025-02-01,XAUUSD,2895.0000
2025-03-01,SPX,5683.9800
2025-03-01,XAUUSD,2983.0000
2025-04-01,SPX,5369.5000
2025-04-01,XAUUSD,3218.0000
2025-05-01,SPX,5810.9200
2025-05-01,XAUUSD,3309.0000
2025-06-01,SPX,6029.9500
2025-06-01,XAUUSD,3353.0000
2025-07-01,SPX,6296.5000
2025-07-01,XAUUSD,3340.0000
2025-08-01,SPX,6408.9500
2025-08-01,XAUUSD,3368.0000
2025-09-01,SPX,6584.0200
2025-09-01,XAUUSD,3667.6800
2025-10-01,SPX,6735.6900
2025-10-01,XAUUSD,4058.3300
2025-11-01,SPX,6740.8900
2025-11-01,XAUUSD,4087.0000
2025-12-01,SPX,6853.0300
2025-12-01,XAUUSD,4309.0000
2026-01-01,SPX,6929.1200
2026-01-01,XAUUSD,4753.0000
2026-02-01,SPX,6893.8100
2026-02-01,XAUUSD,5020.0000
2026-03-01,SPX,6654.4200
2026-03-01,XAUUSD,4856.0000
2026-04-01,SPX,6957.0100
2026-04-01,XAUUSD,4721.0000
2026-05-01,SPX,7412.5500
2026-05-01,XAUUSD,4587.0000
2026-06-01,SPX,7450.0300
2026-06-01,XAUUSD,4228.0000
2026-07-01,SPX,7481.3400
2026-07-01,XAUUSD,4073.0000
